Loading Zone?,Nodes,Needs,Receives,Edges,# Time,One Way
,Home,,,Home // Sword,48,
LZ,Kokiri Shop,,Shield,Home // Kokiri Shop,18,
,Sword,,Sword,Sword // Kokiri Shop,50,
,Mido,"Shield, Sword",,Kokiri Shop // Mido,14,
LZ,Deku Tree,,,Mido // Deku Tree,24,
LZ,Lost Woods,,,Kokiri Shop // Bridge Exit,27,
LZ,Bridge Exit,Stone 1,,Bridge Exit // Lost Woods,23,
,,,,Bridge Exit // Kokiri Forest,5,
,,,,Deku Tree // Slingshot,40,
,Slingshot,,Slingshot,Slingshot // Boss Deku,422,
LZ,Boss Deku,Slingshot,Stone 1,Boss Deku // Kokiri Shop,1,one way
LZ,Kokiri Forest,,,Kokiri Forest // Zora River,43,
LZ,Zora River,Bombs,,Kokiri Forest // Castle Town,61,
LZ,Castle Town,,,Kokiri Forest // Kakariko Village,63,
LZ,Kakariko Village,,,Kokiri Forest // Lake Hylia,87,
LZ,Lake Hylia,"Horse, Adult",,Kokiri Forest // Gerudo Valley,115,
LZ,Gerudo Valley,,,Kokiri Forest // Lon Lon Ranch,51,
LZ,Lon Lon Ranch,,,Zora River // Castle Town,46,
,,,,Zora River // Kakariko Village,48,
,,,,Zora River // Lake Hylia,104,
,,,,Zora River // Gerudo Valley,117,
,,,,Zora River // Lon Lon Ranch,56,
,,,,Castle Town // Kakariko Village,28,
,,,,Castle Town // Lake Hylia,93,
,,,,Castle Town // Gerudo Valley,90,
,,,,Castle Town // Lon Lon Ranch,36,
,,,,Kakariko Village // Lake Hylia,120,
,,,,Kakariko Village // Gerudo Valley,115,
,,,,Kakariko Village // Lon Lon Ranch,56,
,,,,Lake Hylia // Gerudo Valley,59,
,,,,Lake Hylia // Lon Lon Ranch,65,
,,,,Gerudo Valley // Lon Lon Ranch,69,
,,,,Castle Town // Town Square,5,
LZ,Town Square,,,Town Square // Temple Grounds,8,
LZ,Temple Grounds,,,Town Square // Castle Grounds,11,
LZ,Temple,,,Temple Grounds // Castle Grounds,5,
,Prelude of Light,Medallion 1,Prelude of Light,Temple // Prelude of Light,5,
LZ,Master Sword,"Stone 1, Stone 2, Stone 3",Adult,Temple Grounds // Temple,9,
LZ,Castle Grounds,,,Temple // Master Sword,17,
LZ,Fairy Fountain,"Bombs, Zelda's Lullaby",Din's Fire,Castle Grounds // Fairy Fountain,40,
,Light Arrows,"Adult, Medallion 1, Medallion 2, Medallion 3, Medallion 4, Medallion 5",Light Arrows,Temple // Light Arrows,5,
LZ,Castle,Child,,Fairy Fountain // Castle,45,
LZ,Courtyard,,Zelda's Lullaby,Castle Grounds // Castle,78,
LZ,Ganon's Castle,"Adult, Medallion 1, Medallion 2, Medallion 3, Medallion 4, Medallion 5",,Castle // Courtyard,50,
,,,,Courtyard // Castle Town,1,one way
,,,,Castle Grounds // Ganon's Castle,50,
,,,,Kakariko Village // Graveyard,32,
LZ,Graveyard,,,Kakariko Village // Mountain Pass,33,
LZ,Mountain Pass,Zelda's Lullaby,,Graveyard // Mountain Pass,35,
LZ,Dampe,Adult,,Graveyard // Dampe,16,
,Hookshot,Adult,Hookshot,Dampe // Hookshot,71,
LZ,Windmill,Adult,Song of Storms,Hookshot // Windmill,15,one way
,Nocturne of Shadow,"Adult, Medallion 2, Medallion 3",Nocturne of Shadow,Windmill // Graveyard,11,
LZ,Bottom of the Well,"Song of Storms, Child",,Windmill // Kakariko Village,30,
,Lens of Truth,,Lens of Truth,Windmill // Mountain Pass,32,
,,,,Kakariko Village // Nocturne of Shadow,5,
,,,,Kakariko Village // Bottom of the Well,25,
